10|12.03.2009|Tante Elli|5|
9|12.02.2009|Cafe auszeit|4|
8|08.01.2009|Cafe auszeit|5|
7|11.12.2008|Cafe auszeit|4|
6|13.11.2008|Cafe auszeit|10|
5|09.10.2008|Cafe auszeit|6|
4|11.09.2008|Cafe auszeit|7|
3|14.08.2008|Cafe auszeit|8|
2|10.07.2008|Pizzaria SI|?|
1|30.05.2008|Pizzaria SI|-|27
